MAX_STRM_id,GOT2,NewID,ACAD_CAREER,PROG_STATUS,PROG_ACTION,STATUS_DT,ADMIT_TERM,BEGIN_DT,END_DT,EXP_GRAD_TERM,CAMPUS,SAD_LOAD_DESCR,ACAD_PLAN,ACAD_PROG_DESCR,TRNSCR_DESCR,ACAD_ORG,DISABILITY,NATIONALITY,RACE,SEX,MUET,IELTS,LOAN,SPONSOR,SCHOLAR,TOT_CUMULATIVE,N_FINAL_RSLT_DESCR,N_HONOUR_DESCR,CREDITREQUIRED,CNT_DISC,INFO1,CUMM_UNT_PASSD_NOGPA,TOT_TRNSFR,MAX_TOT_PASSD_GPA,LATEST_CH_PASSD,MAX_STRM,SUM_UNT_PASSD_GPA,Prog_Length(Trimester),T1:CUR_GPA,T1:CUM_GPA,T1:UNT_TAKEN_GPA,T1:UNT_TAKEN_NOGPA,T1:UNT_PASSD_GPA,T1:UNT_PASSD_NOGPA,T1:TOT_PASSD_GPA,T2:CUR_GPA,T2:CUM_GPA,T2:UNT_TAKEN_GPA,T2:UNT_TAKEN_NOGPA,T2:UNT_PASSD_GPA,T2:UNT_PASSD_NOGPA,T2:TOT_PASSD_GPA,T3:CUR_GPA,T3:CUM_GPA,T3:UNT_TAKEN_GPA,T3:UNT_TAKEN_NOGPA,T3:UNT_PASSD_GPA,T3:UNT_PASSD_NOGPA,T3:TOT_PASSD_GPA,T4:CUR_GPA,T4:CUM_GPA,T4:UNT_TAKEN_GPA,T4:UNT_TAKEN_NOGPA,T4:UNT_PASSD_GPA,T4:UNT_PASSD_NOGPA,T4:TOT_PASSD_GPA,T5:CUR_GPA,T5:CUM_GPA,T5:UNT_TAKEN_GPA,T5:UNT_TAKEN_NOGPA,T5:UNT_PASSD_GPA,T5:UNT_PASSD_NOGPA,T5:TOT_PASSD_GPA,T6:CUR_GPA,T6:CUM_GPA,T6:UNT_TAKEN_GPA,T6:UNT_TAKEN_NOGPA,T6:UNT_PASSD_GPA,T6:UNT_PASSD_NOGPA,T6:TOT_PASSD_GPA,T7:CUR_GPA,T7:CUM_GPA,T7:UNT_TAKEN_GPA,T7:UNT_TAKEN_NOGPA,T7:UNT_PASSD_GPA,T7:UNT_PASSD_NOGPA,T7:TOT_PASSD_GPA,T8:CUR_GPA,T8:CUM_GPA,T8:UNT_TAKEN_GPA,T8:UNT_TAKEN_NOGPA,T8:UNT_PASSD_GPA,T8:UNT_PASSD_NOGPA,T8:TOT_PASSD_GPA,T9:CUR_GPA,T9:CUM_GPA,T9:UNT_TAKEN_GPA,T9:UNT_TAKEN_NOGPA,T9:UNT_PASSD_GPA,T9:UNT_PASSD_NOGPA,T9:TOT_PASSD_GPA,T10:CUR_GPA,T10:CUM_GPA,T10:UNT_TAKEN_GPA,T10:UNT_TAKEN_NOGPA,T10:UNT_PASSD_GPA,T10:UNT_PASSD_NOGPA,T10:TOT_PASSD_GPA,T11:CUR_GPA,T11:CUM_GPA,T11:UNT_TAKEN_GPA,T11:UNT_TAKEN_NOGPA,T11:UNT_PASSD_GPA,T11:UNT_PASSD_NOGPA,T11:TOT_PASSD_GPA,T12:CUR_GPA,T12:CUM_GPA,T12:UNT_TAKEN_GPA,T12:UNT_TAKEN_NOGPA,T12:UNT_PASSD_GPA,T12:UNT_PASSD_NOGPA,T12:TOT_PASSD_GPA,T13:CUR_GPA,T13:CUM_GPA,T13:UNT_TAKEN_GPA,T13:UNT_TAKEN_NOGPA,T13:UNT_PASSD_GPA,T13:UNT_PASSD_NOGPA,T13:TOT_PASSD_GPA,T14:CUR_GPA,T14:CUM_GPA,T14:UNT_TAKEN_GPA,T14:UNT_TAKEN_NOGPA,T14:UNT_PASSD_GPA,T14:UNT_PASSD_NOGPA,T14:TOT_PASSD_GPA,T15:CUR_GPA,T15:CUM_GPA,T15:UNT_TAKEN_GPA,T15:UNT_TAKEN_NOGPA,T15:UNT_PASSD_GPA,T15:UNT_PASSD_NOGPA,T15:TOT_PASSD_GPA,T16:CUR_GPA,T16:CUM_GPA,T16:UNT_TAKEN_GPA,T16:UNT_TAKEN_NOGPA,T16:UNT_PASSD_GPA,T16:UNT_PASSD_NOGPA,T16:TOT_PASSD_GPA,T17:CUR_GPA,T17:CUM_GPA,T17:UNT_TAKEN_GPA,T17:UNT_TAKEN_NOGPA,T17:UNT_PASSD_GPA,T17:UNT_PASSD_NOGPA,T17:TOT_PASSD_GPA
1,N,G1009888,UGRD,DC,DISC,"Wednesday, 28 November, 2018",1810,"Monday, 2 July, 2018","Sunday, 25 September, 2022",2130,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,F,,,,,,11,PROBATION,Less 2,146,1,"Bahasa Cina(SPM-2013):B, Bahasa Inggeris(SPM-2013):D, Bahasa Melayu(SPM-2013):B+, Ekonomi Asas(SPM-2013):E, Matematik(SPM-2013):A, Matematik Tambahan(SPM-2013):C+, Pengetahuan Moral(SPM-2013):A-, Prinsip Akaun(SPM-2013):A, Sains(SPM-2013):B, Sejarah(SPM-2013):B+",5,26,6,37,1810,6,12,1.48,1.48,12,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1001414,UGRD,DC,DISC,"Wednesday, 22 November, 2017",1710,"Monday, 3 July, 2017","Sunday, 1 August, 2021",2030,MLAKA,Full-Time,AB01,B.Acc. (Hons),Bachelor of Accounting (Honours),FOB,No disability,Malaysia,CHINESE,M,4,,,,,16,PASS,Third Class Honours,146,1,MUET(MUET):4,0,,16,16,1710,16,12,2.61,2.61,16,0,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1005315,UGRD,CN,WADM,"Monday, 9 December, 2019",1710,"Monday, 3 July, 2017","Sunday, 5 July, 2020",1930,CYBER,Full-Time,MB08,B.Mm. (Hons) (Ani & Vis Efcts),Bachelor of Multimedia (Honours) (Animation and Visual Effects),FCM_CYB,No disability,Malaysia,INDIAN,M,,,,,,11,PROBATION,Less 2,120,1,"Bahasa Inggeris(SPM):A-, Bahasa Melayu(SPM):C+, Fizik(SPM):C+, Kimia(SPM):D, Lukisan Kejuruteraan(SPM):B, Matematik(SPM):A-, Matematik Tambahan(SPM):B, Pengetahuan Moral(SPM):B+, Sejarah(SPM):B",0,,11,11,1710,11,9,1.6,1.6,18,0,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Y,G1006869,UGRD,CM,COMP,"Tuesday, 14 January, 2020",1710,"Monday, 3 July, 2017","Sunday, 17 November, 2019",1910,MLAKA,Full-Time,AB02,B.B.A. (Hons) (H.R.M.),Bachelor of Business Administration (Honours) (Human Resource Management),FOB,No disability,Malaysia,INDIAN,M,3,,,,,89,PASS,Second Class Honours (Upper Division),126,,MUET(MUET):3,20,37,69,126,1910,69,9,3.47,3.47,9,3,9,3,9,3.17,3.28,15,3,15,3,24,2.93,3.19,9,0,9,0,33,3.84,3.39,15,3,15,3,48,3.82,3.51,18,0,18,0,66,0,3.51,0,6,0,6,66,4,3.53,3,5,3,5,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Y,G1012028,UGRD,CM,COMP,"Thursday, 11 July, 2019",1710,"Monday, 3 July, 2017","Sunday, 30 June, 2019",1830,MLAKA,Full-Time,AB02,B.B.A. (Hons) (H.R.M.),Bachelor of Business Administration (Honours) (Human Resource Management),FOB,No disability,Malaysia,CHINESE,F,3,,,,,89,NO GPA,Third Class Honours,126,,MUET(MUET):3,20,37,69,126,1830,69,9,2.55,2.55,12,6,12,6,12,2.32,2.42,15,5,12,5,24,2.71,2.49,9,0,9,0,33,2.29,2.44,15,3,15,3,48,2.6,2.52,21,0,21,0,69,0,2.52,0,6,0,6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Y,G1014415,UGRD,CM,COMP,"Thursday, 11 July, 2019",1630,"Monday, 3 April, 2017","Sunday, 30 June, 2019",1830,MLAKA,Full-Time,AB02,B.B.A. (Hons) (H.R.M.),Bachelor of Business Administration (Honours) (Human Resource Management),FOB,No disability,Malaysia,INDIAN,F,4,,,,,89,PASS,Second Class Honours (Upper Division),126,,MUET(MUET):4,20,37,69,126,1830,69,9,3.71,3.71,9,0,9,0,9,3.45,3.56,12,3,12,3,21,2.87,3.24,18,0,18,0,39,0,3.24,0,6,0,6,39,3.23,3.24,12,3,12,3,51,3.67,3.32,12,6,12,6,63,3.7,3.35,6,2,6,2,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Y,G1006041,UGRD,CM,COMP,"Thursday, 28 November, 2019",1710,"Monday, 3 July, 2017","Sunday, 17 November, 2019",1910,MLAKA,Full-Time,AB02,B.B.A. (Hons) (H.R.M.),Bachelor of Business Administration (Honours) (Human Resource Management),FOB,No disability,Malaysia,CHINESE,M,3,,,,,89,PASS,Second Class Honours (Lower Division),126,,MUET(MUET):3,20,37,69,126,1910,69,9,2.51,2.51,9,0,9,0,9,2.52,2.51,12,3,12,0,21,2.7,2.56,6,3,6,3,27,2.42,2.51,12,5,12,5,39,2.67,2.56,18,0,18,0,57,0,2.56,0,6,0,6,57,3.38,2.7,12,6,12,6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Y,G1006898,UGRD,CM,COMP,"Thursday, 3 December, 2020",1720,"Monday, 20 November, 2017","Sunday, 22 November, 2020",2010,MLAKA,Full-Time,AB04,B.B.A. (Hons) (Mktg. Mgmt.),Bachelor of Business Administration (Honours) (Marketing Management),FOB,No disability,Malaysia,CHINESE,F,3,,,,,126,PASS,Second Class Honours (Lower Division),126,,"Bahasa China / China Language(STPM):D+, Bahasa Cina(SPM):3B, Bahasa Inggeris(SPM):1A, Bahasa Inggeris untuk Sains dan Teknologi(SPM):3B, Bahasa Melayu(SPM):2A, Biologi(SPM):4B, Fizik(SPM):3B, Fizik / Physics(STPM):C, Kimia(SPM):4B, MUET(MUET):3, Matematik(SPM):1A, Matematik T / Mathematics T(STPM):B+, Matematik Tambahan(SPM):2A, Pengajian AM / Kertas AM / AM  Studies / Paper Am(STPM):B+, Pengetahuan Moral(SPM):2A, Sejarah(SPM):4B",20,3,106,129,2010,106,9,3.07,3.07,15,3,15,3,15,2.49,2.88,7,0,7,0,22,3.2,3.03,18,0,18,0,40,3.47,3.13,12,5,12,5,52,3.47,3.16,6,0,6,0,58,3.21,3.17,15,3,15,3,73,3.5,3.24,18,0,18,0,91,0,3.24,0,6,0,6,91,3.75,3.31,15,3,15,3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,G1006808,UGRD,DC,DISC,"Thursday, 22 June, 2017",1630,"Monday, 3 April, 2017","Sunday, 12 April, 2020",1920,MLAKA,Full-Time,AB04,B.B.A. (Hons) (Mktg. Mgmt.),Bachelor of Business Administration (Honours) (Marketing Management),FOB,No disability,Malaysia,CHINESE,M,,,,,,40,PROBATION,Less 2,126,1,"Bahasa Cina(SPM-2013):C+, Bahasa Inggeris(SPM-2013):D, Bahasa Melayu(SPM-2013):B, Ekonomi Asas(SPM-2013):D, Matematik(SPM-2013):A, Matematik Tambahan(SPM-2013):C, PENDIDIKAN MORAL(SPM-2013):A-, Prinsip Akaun(SPM-2013):C+, Sains(SPM-2013):A-, Sejarah(SPM-2013):C+",0,37,3,40,1630,3,9,1.6,1.6,9,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Y,G1003403,UGRD,CM,COMP,"Thursday, 25 July, 2019",1710,"Monday, 3 July, 2017","Sunday, 30 June, 2019",1830,MLAKA,Full-Time,AB04,B.B.A. (Hons) (Mktg. Mgmt.),Bachelor of Business Administration (Honours) (Marketing Management),FOB,No disability,Malaysia,CHINESE,M,3,,,,,89,NO GPA,Third Class Honours,126,,MUET(MUET):3,20,37,69,126,1830,69,9,2.35,2.35,15,3,15,3,15,2.57,2.46,15,5,15,5,30,2.69,2.51,9,0,9,0,39,2.65,2.55,12,6,12,6,51,2.59,2.56,18,0,18,0,69,0,2.56,0,6,0,6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Y,G1002226,UGRD,CM,COMP,"Thursday, 18 April, 2019",1630,"Monday, 3 April, 2017","Sunday, 7 April, 2019",1820,MLAKA,Full-Time,AB04,B.B.A. (Hons) (Mktg. Mgmt.),Bachelor of Business Administration (Honours) (Marketing Management),FOB,No disability,Malaysia,INDIAN,M,4,,,,,89,PASS,Second Class Honours (Lower Division),126,,"Bahasa Inggeris(SPM):B+, Bahasa Melayu(SPM):B, Ekonomi Asas(SPM):D, MUET(MUET):4, Matematik(SPM):C, Pengetahuan Moral(SPM):B, Prinsip Akaun(SPM):D, Sains(SPM):B, Sejarah(SPM):C+",20,37,69,126,1820,69,9,3.4,3.4,9,0,9,0,9,2.92,3.12,12,6,12,6,21,2.9,3.02,18,0,18,0,39,0,3.02,0,6,0,6,39,3.24,3.08,15,3,15,3,54,3.04,3.07,15,5,15,5,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Y,G1004793,UGRD,CM,COMP,"Thursday, 30 July, 2020",1730,"Monday, 9 April, 2018","Sunday, 5 July, 2020",1930,MLAKA,Full-Time,AB04,B.B.A. (Hons) (Mktg. Mgmt.),Bachelor of Business Administration (Honours) (Marketing Management),FOB,No disability,Malaysia,CHINESE,M,4,,,,,89,NO GPA,Second Class Honours (Lower Division),126,,"Bahasa Inggeris(SPM):B+, Bahasa Melayu(SPM):C, Fizik(SPM):C+, Kimia(SPM):G, MUET(MUET):4, Matematik(SPM):C, Matematik Tambahan(SPM):D, Pengetahuan Moral(SPM):C+, Prinsip Akaun(SPM):G, Sejarah(SPM):D",20,37,69,126,1930,69,9,3.7,3.7,6,2,6,2,6,2.98,3.22,12,6,12,6,18,2.41,2.82,18,0,15,0,33,3.3,2.89,6,3,6,3,39,3.09,2.94,15,0,15,0,54,2.97,3.08,15,3,15,3,69,0,3.08,0,6,0,6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Y,G1012037,UGRD,CM,COMP,"Thursday, 28 November, 2019",1630,"Monday, 3 April, 2017","Sunday, 17 November, 2019",1910,MLAKA,Full-Time,AB04,B.B.A. (Hons) (Mktg. Mgmt.),Bachelor of Business Administration (Honours) (Marketing Management),FOB,No disability,Malaysia,INDIAN,M,4,,,,,89,PASS,Second Class Honours (Lower Division),126,,MUET(MUET):4,20,37,69,126,1910,69,9,2.87,2.87,6,0,6,0,6,2.72,2.77,12,3,12,3,18,2.59,2.68,15,0,15,0,33,0,2.68,0,6,0,6,33,2.32,2.57,15,3,12,3,45,2.97,2.79,12,3,12,3,57,3.33,2.82,3,2,3,2,60,3.4,2.89,9,3,9,3,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
